"","x"
"1",1.39128190263093
"2",1.39376637595859
"3",1.42310833424261
"4",1.31908561142644
"5",1.27536280041261
"6",1.23837423104327
"7",1.33762918913861
"8",1.32707500145992
"9",1.30833281965018
"10",1.39128190263093
"11",1.34286480319255
"12",1.40118297361364
"13",1.46787434811231
"14",1.50407739677627
"15",1.57069708411767
"16",1.58719230348678
"17",1.56861591791385
"18",1.6094379124341
"19",1.62727783056243
"20",1.62136648329937
"21",1.67335123817775
"22",1.66770682055808
"23",1.70292825552144
"24",1.70292825552144
"25",1.66959183525385
"26",1.61143591509677
"27",1.64287268852034
"28",1.65632149833295
"29",1.58514521986506
"30",1.62334081760309
"31",1.5953389880546
"32",1.56024766824333
"33",1.5810384379124
"34",1.64480505627139
"35",1.62924053973028
"36",1.65822807660353
"37",1.49738840862548
"38",1.34807314829969
"39",1.17557332980424
"40",0.966983846189673
"41",1.27536280041261
"42",1.24415459395877
"43",1.26129787094521
"44",1.45395300959371
"45",1.42069578783722
"46",1.47017584510059
"47",1.52605630349505
"48",1.43746264769429
"49",1.37371557891303
"50",1.39624469197306
"51",1.30291275218084
"52",1.22377543162212
"53",1.2947271675944
"54",1.22964055107451
"55",1.21491274436427
"56",1.1314021114911
"57",1.21491274436427
"58",1.13462272619114
"59",1.05082162483176
"60",0.8754687373539
"61",0.488580014818671
"62",0.476234178996372
"63",0.412109650826833
"64",0.524728528934982
"65",-0.693147180559945
"66",-1.02165124753198
"67",-0.867500567704723
"68",-1.27296567581289
"69",-0.150822889734584
"70",0.0392207131532813
"71",-0.116533816255952
"72",0.19062035960865
"73",0.683096844706444
"74",0.792992515529661
"75",0.904218150639886
"76",0.920282753143692
"77",0.770108221696074
"78",0.792992515529661
"79",0.806475865866949
"80",0.89199803930511
"81",1.00063188030791
"82",1.01160091167848
